제목,장르,상영시간,개봉일,인기도,평균 평점,평점 수,제작비,수익,제작사,원어,시놉시스,키워드
언노운 우먼,"['스릴러', '드라마', '미스터리']",118.0,2006-10-09,0.6989,7.2,349.0,8000000.0,6881566.0,['Manigolda Film'],it,"젊고 부유한 보석 세공사인 아다처 부인의 집에 들어가기 위해 기존의 가정부를 사고로 위장해 없애버린 이레나. 결국 그 집의 가정부이자 딸아이 ‘떼아’의 유모로 취직한 이레나는 요리와 청소는 물론, 한번도 해 본 적 없는 운전까지 하며 그들의 환심을 산다.  아다처 부부와 딸 아이 떼아의 신뢰를 얻기 위해 무슨 일이든 감행하던 이레나는 어느 날, 정체 모를 남자에게 쫓기게 되고, 떼아의 엄마가 집을 비운 사이 떼아에게 잔혹한 훈련을 시키기 시작하는데……이레나의 주위를 맴도는 한 남자, 그리고 그녀가 벌이는 의문의 행동들. 과연 언노운 우먼 ‘이레나’의 정체는 무엇일까?","['prostitute', 'cleaning lady', 'italy', 'suppressed past']"
வரலாறு,['드라마'],166.0,2006-10-20,0.551,6.2,18.0,500000.0,500000.0,['Nic Arts'],ta,,['twin brother']
Seed,['공포'],90.0,2006-11-03,0.8886,3.953,127.0,10000000.0,155362.0,['Boll Kino Beteiligungs GmbH & Co. KG'],en,,"['revenge', 'serial killer', 'electric chair', 'disgusted']"
Добрыня Никитич и Змей Горыныч,"['모험', '애니메이션', '코미디', '판타지']",65.0,2006-03-16,0.6101,7.021,96.0,4500000.0,3620000.0,['Melnitsa Animation Studio'],ru,,"['new love', 'fairy tale', 'prince', 'dragon', 'ukraine']"
How to Eat Fried Worms,"['코미디', '드라마', '가족']",98.0,2006-08-25,0.7006,6.193,115.0,26000000.0,13022756.0,['New Line Cinema'],en,,"['worm', 'bully', ""based on children's book""]"
윈터 패싱,"['코미디', '드라마']",98.0,2006-02-07,0.5677,6.2,117.0,3500000.0,113783.0,['Yari Film Group'],en,,['book editor']
Valley of Flowers,"['모험', '드라마', '로맨스']",120.0,2006-07-15,0.797,6.692,26.0,6000000.0,130742.0,['Elzévir Films'],en,,"[""love of one's life"", 'himalaya mountain range', 'robber']"
Tempelriddernes Skat,"['가족', '모험', '액션']",85.0,2006-02-03,0.5256,5.5,38.0,85.0,9984.0,['M&M Productions'],da,,[]
Die Wilden Kerle 3,"['모험', '코미디', '가족']",93.0,2006-03-01,0.5833,5.353,75.0,4494427.0,11935024.0,['Bayerischer Banken-Fonds'],de,,['football (soccer)']
హ్యాపీ,"['드라마', '로맨스']",152.0,2006-01-27,0.5161,6.419,31.0,2200000.0,5800000.0,['Geetha Arts'],te,,[]
