제목,장르,상영시간,개봉일,인기도,평균 평점,평점 수,제작비,수익,제작사,원어,시놉시스,키워드
Traffic in Souls,"['범죄', '드라마']",88.0,1913-11-24,0.1413,5.19,21.0,5700.0,1800000.0,['Independent Moving Pictures'],en,,"['kidnapping', 'prostitution', 'silent film']"
Neptune's Daughter,['판타지'],95.0,1914-04-25,0.1574,1.0,2.0,50000.0,1000000.0,['Universal Film Manufacturing Company'],en,,"['black and white', 'underwater', 'swimming', 'silent film', 'partially lost film', 'public domain']"
The Rose of the Rancho,"['로맨스', '서부', '모험']",50.0,1914-11-15,0.1203,4.0,1.0,16988.0,87028.0,['Jesse L. Lasky Feature Play Company'],en,,"['old california', '19th century']"
국가의 탄생,"['드라마', '역사', '전쟁']",193.0,1915-02-08,3.7802,6.003,552.0,100000.0,11000000.0,['Epoch Film Co.'],en,"북의 스톤맨가는 과격한 노예제 폐지론자인 아버지 오스틴 스톤맨과 두 아들, 아버지를 보살피는 딸 엘지가 있었다. 카메론의 두 아들이 남부의 피에드몽에 있는 스톤맨가를 방문한다. 카메론가의 맏아들인 벤은 친구인 스톤맨이 갖고 있던 동생 엘지의 사진을 보고 한눈에 반한다.  그후 전쟁의 기운이 몰아치고 북의 통치를 거부하는 남의 분리선언으로 남북전쟁의 소용돌이에 휘말리고 두 가문의 남자들 역시 전쟁에 참가하게 된다. 2년반의 치열한 전투 끝에 남부는 항복을 하고 링컨은 남부에 온건 정책을 쓴다. 그러나 링컨이 존 윌키스에게 저격을 당하여 사망하자 스톤맨이 실권을 장악한다. 남부는 스톤맨의 총애를 받는 혼혈인 린치에게 그 권한이 넘겨진다. 그러나 남부의 무정부적 상태에서 벤의 여동생이 흑인 거스에 의하여 절벽에 떨어져 죽는다. 분노한 백인 암살단은 대학살을 예고하고...  남북의 대립 이전부터 친교를 갖고 있던 북과 남의 훌륭한 두 백인 가문, 스톤맨가와 카메론가의 가족들이 남북 전쟁을 전후로 하여 겪게 되는 사랑과 갈등, 치열한 삶과 죽음의 곡예, 그리고 이들의 정치적 대립과 의식의 변화 과정을 당시의 역사적인 사실을 바탕으로 하여 사실적으로 촬영되었다.","['army', 'ku klux klan', 'southern usa', 'racist', 'silent film', 'american civil war', 'reconstruction era', 'controversial']"
The Cheat,['드라마'],59.0,1915-12-13,0.8053,5.962,66.0,17311.0,137365.0,['Jesse L. Lasky Feature Play Company'],en,,[]
The Girl of the Golden West,"['서부', '로맨스']",45.0,1915-01-04,0.0969,5.5,6.0,15110.0,102224.0,['Jesse L. Lasky Feature Play Company'],en,,"['gambling', 'snowstorm', 'silent film']"
인톨러런스,"['드라마', '역사']",197.0,1916-09-04,0.7558,7.063,347.0,385907.0,1750000.0,['Triangle Film Corporation'],en,"서로 다른 시기에 발생한 이야기를 동시에 진행한, 구성이 매우 복잡한 흑백 작품으로, 20세기 초 미국 젊은이들의 고민, 16세기 유럽 종교개혁 시기의 위그노 학살, 예수의 생애에 대한 에피소드, 고대의 바빌로니아 이야기가 동시에 등장한다.  선구자적인 이런 시도는 다음 세대 영화인에게 영감의 원천이 되었다. 시간적으로는 서양 고대에서 20세기 현대를, 공간적으로는 오리엔트에서 출발해 지중해를 지나 서유럽을 거쳐 미국 역사를 동시에 다루었다. 흥행에는 실패하였지만 데이비드 와크 그리피스는 이 작품으로 영화 예술의 아버지라 불렸다.","['naivety', 'mill', 'marriage', 'intolerance', 'wedding', 'massacre', 'protestant', 'silent film', 'multiple storylines', 'reformer', 'saved from hanging', 'babylon', '16th century', 'partially lost film', '1st century', 'huguenot', '6th century bc', 'tragic']"
"20,000 Leagues Under the Sea","['모험', '드라마', '액션', 'SF']",99.0,1916-12-24,0.4129,6.2,57.0,200000.0,8000000.0,['The Universal Film Mfg. Co.'],en,,"['revenge', 'captain nemo']"
A Daughter of the Gods,"['판타지', '드라마']",180.0,1916-10-16,0.1074,3.3,3.0,1000000.0,1390000.0,['Fox Film Corporation'],en,,[]
Mickey,"['코미디', '드라마']",71.0,1918-08-01,0.3192,6.5,17.0,250000.0,8000000.0,['Mabel Normand Feature Film Company'],en,,"['new york city', 'horse race', 'fish out of water', 'orphan', 'silent film']"
The Ghost of Slumber Mountain,"['판타지', '애니메이션', '공포']",16.0,1918-11-17,0.0214,5.909,11.0,3000.0,3000.0,['Herbert M. Dawley Production'],en,,"['stop motion', 'dinosaur', 'silent film', 'partially lost film']"
The Miracle Man,['드라마'],80.0,1919-08-26,0.1507,4.5,2.0,120000.0,3600000.0,['Paramount Pictures'],en,,"['con artist', 'silent film', 'lost film', 'partially lost film']"
칼리가리 박사의 밀실,"['드라마', '공포', '스릴러', '범죄']",77.0,1920-02-27,2.3565,7.925,1642.0,18000.0,8811.0,['Decla Film Gesellschaft Holz & Co.'],de,북독일의 시골에서 온 칼리가리 박사는 체자레라고 하는 남자에게 최면술을 걸어 예언자 행세를 하며 동네를 돌게 한다.,"['insane asylum', 'black and white', 'silent film', 'unreliable narrator', 'expressionism', 'somnambulist', 'unreliable flashback', 'megalomania', 'madman', 'somnambulism', 'german expressionism', 'ominous']"
키드,"['코미디', '드라마']",68.0,1921-01-21,3.5024,8.2,2172.0,250000.0,2500000.0,['Charles Chaplin Productions'],en,부유한 화가에게 버림받고 갓난 어린 아이를 병원에서 낳은 여자가 키울 능력이 없어 고급차 안에 아이를 두고 간다. 그런데 자동차 도둑이 그 차를 훔치고 아이를 쓰레기통 옆에 두고 간다. 우연히 그 길을 지나가던 떠돌이 찰리가 애기 울음 소리를 듣고 얼떨결에 아이를 안게 되는데...,"['angel', 'suicide attempt', 'fistfight', 'slapstick comedy', 'black and white', 'class differences', 'foundling', 'silent film', 'dream sequence', 'semi autobiographical', 'car theft', 'criterion', 'illegitimate child', 'unwed mother', 'abandoned baby', 'out of wedlock child']"
Fool's Paradise,['로맨스'],109.0,1921-12-09,0.0605,5.5,2.0,291367.0,901937.0,['Famous Players-Lasky Corporation'],en,,[]
어리석은 아낙네들,"['드라마', '스릴러']",143.0,1922-01-11,0.5236,6.511,93.0,1100000.0,400200.0,['Universal Film Manufacturing Company'],en,"어리석고 뻔뻔할 정도로 무성의하고 여자라면 가리지 않지만 위험한 상황에서는 비겁하기 그지 없는 카람진 백작은 무심한 미국 외교관의 아내, 앨렌 휴즈를 유혹하는데...","['court', 'monte carlo', 'wig']"
안전 불감증,['코미디'],73.0,1923-04-01,1.2603,7.7,527.0,121000.0,1500000.0,['Hal Roach Studios'],en,"사랑하는 약혼녀를 고향에 두고 도시로 올라온 로이드는 여전히 백화점 말단 판매원사원이지만 쌈짓돈을 모아 사랑하는 여자에게 근사한 선물을 보낸다. 그러다 보니 약혼녀는 그가 성공한 줄로만 알고 도시로 깜짝 등장을 하는데, 결국 그는 백화점 사장에게 대낮에 건물을 기어 오르는 쇼를 해서 사람들을 불러모으는 조건으로 결혼식자금을 모으려 한다.","['police', 'department store', 'clock', 'climbing', 'black and white', 'silent film', 'criterion']"
걸 샤이,"['코미디', '로맨스']",80.0,1924-04-20,0.6503,6.97,66.0,400000.0,1550000.0,['The Harold Lloyd Corporation'],en,"해롤드는 재단사에서 일하는 견습생으로 수줍음이 많고 말을 더듬어 여성과는 대화조차 어렵다. 그러나 집에서는 연애의 고수라는 허구의 인물이 되어 연애가 어려운 사람을 위한 「사랑을 만드는 비밀 The Secret of Making Love」​이라는 책을 쓰는 작가로 변신한다. 해롤드는 자신의 책을 출판하기 위해 도시로 가는 기차에서 소녀 메리를 만나고, 이들은 곧 사랑에 빠지게 되지만 그녀에게는 이미 약혼자가 있다. 이제 그는 그녀의 결혼을 막고 사랑을 쟁취하기 위한 모험에 나선다.","['speed', 'manuscript', 'romcom', 'tailor', 'silent film', 'tortoise', 'tram', 'stop wedding']"
탐욕,"['드라마', '범죄']",140.0,1924-12-04,0.8736,7.359,184.0,665603.0,274827.0,['Metro-Goldwyn-Mayer'],en,"존은 샌프란시스코의 한 평범한 치과의사로, 아내 트리나는 복권에 당첨되어 뜻하지 않게 부를 얻게 된다. 등장인물들은 갑작스럽게 얻은 부에 대한 욕망과 집착 때문에 치명적인 선택을 하게 되는데… 무성영화 시대의 거장 에리히 폰 스트로하임이 무려 8시간으로 연출했으나 제작사와의 문제로 편집되고 만 비운의 걸작. 성공과 돈 앞에서 어쩔 수 없이 나약해지는 인간의 심성을 리얼리즘 형식으로 담아냈다.","['gold', 'greed', 'marriage', 'lottery', 'gold mine', 'money', 'tragedy', 'murder', 'poverty', 'wedding', 'dentist', 'death', 'silent film', 'lottery ticket', 'compulsive hoarding', 'partially lost film']"
바그다드의 도둑,"['로맨스', '모험', '판타지']",149.0,1924-03-18,0.6346,7.346,166.0,1135654.0,1490419.0,['Douglas Fairbanks Pictures'],en,"옛 바그다드. 준수한 젊은 도둑 하나가 칼리파의 딸과 사랑에 빠진다. 그러나 신분의 차이 말고도, 몽골의 침략 등 사랑을 허락하지 않는 수많은 난관이 그들을 기다리는데.... 에너지가 넘치는 배우 페어뱅크스의 모습과, 그림자 애니메이션의 고전으로 잘 알려진 을 연상케 하는 환상적인 분위기의 특수 효과, 거장 라울 월쉬의 독창적인 연출이 맞물려 고전 영화 사상 가장 눈부신 작품 중 한 편을 탄생시켰다.","['princess', 'treasure', 'magic', 'palace', 'flying carpet', 'rope', 'thief', 'suitor', 'black and white', 'disguise', 'apple', 'baghdad', 'silent film', 'arabian nights']"
He Who Gets Slapped,"['드라마', '스릴러', '로맨스']",72.0,1924-12-22,0.6748,7.574,94.0,172000.0,881000.0,['Metro-Goldwyn-Mayer'],en,,"['circus', 'clown', 'clowning', 'based on play or musical', 'love', 'remake', 'tragedy', 'betrayal', 'unrequited love', 'silent film', 'betrayal by friend', 'slap', 'circus clown', 'circus performer']"
Beau Brummel,['드라마'],127.0,1924-03-30,0.5018,6.769,13.0,343000.0,495000.0,['Warner Bros. Pictures'],en,,"['military officer', 'mockery', 'snob', 'love', 'love affair', 'fashion', 'silent film', 'arrogance', 'snobbery', 'broken heart', 'trendsetter', 'inner circle']"
황금광 시대,"['모험', '코미디', '드라마']",95.0,1925-07-13,2.4662,8.0,1655.0,923000.0,4000000.0,['Charles Chaplin Productions'],en,"금광을 찾아 알래스카에 온 찰리는 살인범 블랙의 오두막에서 금광을 찾았다는 멕케이를 만난다. 산속에 갖힌 이들은 원조를 청하는 제비뽑기를 한다. 블랙이 길을 떠나지만 추격중이던 경찰을 만나 죽고,찰리와 맥케이는 너무 배가 고파 구두를 끓여 먹기도 한다. 간신히 마을에 도착한 찰리는 조지아라는 무희에게 반한다. 그녀는 추근거리는 남자들을 따돌리기 위해 찰리와 춤을 추지만, 어느날 그가 자신을 좋아하고 있음을 눈치챈다. 한편 자신이 발견한 금광의 위치를 잊어버린 멕케이는 찰리와 함께 구사일생으로 금광을 다시 찾고 이들은 백만 장자가 되는데...","['dance', 'worker', 'gold', 'river', 'thanksgiving', 'gold rush', 'love', 'alaska', 'cabin', 'black and white', 'silent film', 'klondike', 'criterion', 'dance hall']"
벤허,"['모험', '드라마', '로맨스']",143.0,1925-12-25,1.2646,7.298,104.0,3900000.0,9000000.0,['Metro-Goldwyn-Mayer'],en,,"['epic', 'chariot race', 'leprosy', 'revenge', 'silent film', 'seductress', 'sea battle', 'two strip technicolor', 'galley slave', 'enslavement', 'temptress', 'nativity', '1st century']"
Clash of the Wolves,"['서부', '모험', '로맨스']",74.0,1925-11-17,0.9041,6.375,16.0,89000.0,270000.0,['Warner Bros. Pictures'],en,,"['german shepherd', 'claim jumper', 'wolf pack', 'rin tin tin', 'wolves']"
빅 퍼레이드,"['로맨스', '전쟁', '드라마']",151.0,1925-11-05,0.3593,7.553,113.0,382000.0,20000000.0,['Metro-Goldwyn-Mayer'],en,"제1차 세계대전이 중반을 넘어설 무렵, 부유한 사업가의 아들 제임스는 일할 생각은 않고 한량처럼 지낸다. 그런 아들을 보다 못한 아버지는 입대하지 않으면 쫓아내겠다고 협박한다. 마지못해 군대에 입대한 제임스는 서부 전선으로 보내지는데...","['france', 'world war i', 'patriotism', 'battlefield', 'combat', 'silent film', 'french girl', 'spitting', '1910s', 'american g.i.', 'war buddies']"
The Unholy Three,"['범죄', '스릴러', '드라마']",86.0,1925-07-20,0.4799,6.8,55.0,103000.0,704000.0,['Metro-Goldwyn-Mayer'],en,,"['robbery', 'silent film', 'sideshow']"
육체와 악마,"['드라마', '로맨스']",112.0,1926-12-25,2.871,7.229,59.0,373000.0,658000.0,['Metro-Goldwyn-Mayer'],en,"오랜 친구인 레오와 울리히는 군사 훈련을 마치고 집으로 돌아온다. 기차역에서 레오는 아름다운 펠리시타스에게 한눈에 반한다. 그런데 펠리시타스는 남편이 있다는 사실을 밝히지 않았고, 갑자기 나타난 남편은 레오에게 결투를 신청한다. 결투 끝에 남편은 죽고, 레오는 아프리카에서 5년간 복무하게 된다. 한편, 레오가 없는 사이 펠리시타스는 울리히와 결혼한다.","['adultery', 'friendship', 'brotherhood', 'male friendship', 'betrayal', 'duel', 'silent film', 'blood brother', 'temptress']"
제너럴,"['액션', '모험', '코미디', '전쟁']",79.0,1926-12-25,2.3994,7.938,1299.0,750000.0,1000000.0,['Joseph M. Schenck Productions'],en,"증기기관차 ‘제너럴’과 여자친구 애너벨 리를 사랑하는 기관사 조니는 남북전쟁이 발발하자 남군에 입대하려 하지만 거절당한다. 이 때문에 애너벨은 그가 겁쟁이라고 생각하게 된다. 어느 날 북군이 애너벨이 타고 있는 제너럴을 훔쳐가자, 조니는 자신의 두 연인을 구해내고 용기를 입증하려 하는데...","['cannon', 'army', 'general', 'southern usa', 'spy', 'fiancé', 'bridge', 'engineer', 'attack', 'black and white', 'train', 'silent film', 'behind enemy lines', 'american civil war']"
Sparrows,['드라마'],94.0,1926-09-19,3.1684,7.1,36.0,463455.0,966878.0,['United Artists'],en,,"['rescue', 'farm', 'kidnapping', 'orphan', 'silent film', 'slave labor', 'kids on their own', 'slave girl', 'modern slavery']"
The Better 'Ole,"['코미디', '드라마', '전쟁']",95.0,1926-10-23,0.1836,5.0,6.0,449000.0,1273000.0,['Warner Bros. Pictures'],en,,"['world war i', 'german spy']"
Beau Geste,"['액션', '모험', '드라마']",102.0,1926-08-24,0.266,6.0,12.0,900000.0,1500000.0,['Paramount Pictures'],en,,[]
Tell It to the Marines,"['액션', '코미디', '드라마']",103.0,1926-12-23,0.1549,6.4,19.0,433000.0,1250000.0,['Metro-Goldwyn-Mayer'],en,,"['prostitute', 'nurse', 'asia', 'boot camp', 'battle', 'bandit', 'silent film', 'tropical island', 'u.s. marine', 'battleship', 'basic training', 'melee', 'drill sergeant', 'new recruit', 'heart of gold']"
The Sea Beast,"['모험', '판타지']",136.0,1926-01-15,0.1229,6.4,7.0,503000.0,938000.0,['Warner Bros. Pictures'],en,,"['sea', 'whale', 'revenge', 'silent film']"
메트로폴리스,"['드라마', 'SF']",153.0,1927-02-06,4.3404,8.106,2863.0,5300000.0,1350322.0,['UFA'],de,풍요로운 삶을 누리는 지상세계의 프레더는 어느날 마리아를 통해 지하 세계의 비참한 생활상을 알게된다. 프레더는 그의 아버지 프레드슨에게 노동자들의 삶을 개선해 줄 것을 요청하지만 거절당한다. 한편 마리아가 주도하는 지하 세계의 집회를 목격한 프레드슨은 로트왕에게 마리아와 똑같은 로봇을 만들어 지하세계의 노동자들을 교란할 것을 명령하는데...,"['future', 'metropolis', 'class society', 'man vs machine', 'underground world', 'tower of babel', 'based on novel or book', 'inventor', 'dystopia', 'delirium', 'mad scientist', 'prophet', 'steampunk', 'grim reaper', 'black and white', 'robot', 'destruction', 'silent film', 'nostalgic', 'expressionism', 'seven deadly sins', 'depravity', 'mob justice', 'downtrodden', 'saviour', 'social unrest', 'german expressionism', 'mediator', 'cautionary', 'dramatic', 'suspenseful']"
재즈 싱어,"['드라마', '음악']",89.0,1927-10-06,2.3823,6.097,231.0,422000.0,2600000.0,['Warner Bros. Pictures'],en,"몇 대째 가문 대대로 내려오는 칸토르(유대교의 예배에서 노래를 부르는 선창자) 자리를 물려받게 되어 있는 유태인 소년 재키 라비노비츠(아역, 로버트(바비) 고든 분)는 재즈 가수를 꿈꾸며 아버지의 반대를 뿌리치고 집을 뛰쳐나간다. 재키는 13세 시절부터 업소에서 춤을 추고 노래를 부르며 재즈가수의 꿈을 키워나간다. 재키는 이름도 대중이 알기 쉬운 ""잭 로빈""으로 개명하고 뉴욕에서 서서히 이름을 알려 브로드웨이의 커다란 공연에서 주연을 하게 될 기회를 잡게 된다. 하지만 첫 공연 전날 아버지가 위독하다는 소식을 듣게 되고, 가수로서 장래를 포기하더라도 아버지를 위해 노래하겠다고 생각하고 아버지 대신 유대교 속죄일 예배에서 노래를 부르며 아버지의 임종을 지킨다. 그 날 재키의 노래는 많은 사람들을 감동시키고, 그는 첫 공연에 빠져서 노래를 부르지 못했음에도 불구하고 브로드웨이의 인기 가수로 성공하게 된다.","['new york city', 'dancer', 'parent child relationship', 'san francisco, california', 'jewish ghetto', 'generations conflict', 'jewish life', 'black and white', 'blackface']"
하숙인,"['범죄', '스릴러', '미스터리']",91.0,1927-02-14,1.5596,7.1,308.0,14670.0,83568.0,['Carlyle Blackwell Productions'],en,런던에서 금발 미녀를 대상으로 한 연쇄살인사건이 일어난다. 그 무렵 번팅 부부의 집에 낯선 사나이가 방을 얻는다. 번팅 부부의 딸 데이지는 경찰관인 남자친구 조에게 사나이를 조사해볼 것을 제안한다. 안개 낀 밤만 되면 외출을 하고 금발여인의 초상화에 신경질적인 반응을 보이는 등 여러 가지로 의심스러운 행동을 하는 사나이의 뒤를 캐던 조는 그를 연쇄살인의 범인으로 지목한다. 그러나 진짜 범인이 잡히면서 사나이는 누명을 벗고 데이지는 그에 대한 자신의 사랑을 확인한다.,"['london, england', 'jack the ripper', 'boarder', 'lodger', 'serial killer', 'silent film', 'fashion show', 'mysterious stranger', 'modeling']"
날개,"['드라마', '액션', '전쟁', '로맨스']",144.0,1927-08-12,1.3743,7.216,287.0,2000000.0,3600000.0,['Paramount Famous Lasky Corporation'],en,"같은 동네에 사는 잭과 데이빗은 동시에 실비아를 사랑하고 있는 사랑의 라이벌이다. 1차 대전이 발발하자 두 남자는 같이 공군에 입대하지만, 이곳에서도 계속 경쟁을 이어나간다. 오랜 기간 필름이 분실되었다가 1992년에야 기적적으로 다시 관객과 만날 수 있었다.","['friendship', 'paris, france', 'love triangle', 'world war i', 'battlefield', 'aerial combat', 'dogfight', 'black and white', 'warfare', 'silent film', 'us military', '1910s', 'fighter pilots']"
왕중왕,"['드라마', '역사']",155.0,1927-04-19,0.9241,6.5,56.0,1265284.0,2641687.0,['DeMille Pictures Corporation'],en,,"['epic', 'crucifixion', 'resurrection', 'silent film', 'messiah', 'big budget', 'jesus christ', 'judea', 'inspirational', 'commanding']"
제7의 천국,"['드라마', '로맨스']",119.0,1927-09-10,0.3718,7.354,99.0,1300000.0,2500000.0,['Fox Film Corporation'],en,,"['optimism', 'based on play or musical', 'love', 'black and white', 'sewer', 'silent film', 'presumed dead', 'street cleaners']"
London After Midnight,"['공포', '미스터리']",69.0,1927-12-03,0.3435,6.6,28.0,151666.0,1000000.0,['Metro-Goldwyn-Mayer'],xx,,"['vampire', 'butler', 'inspector', 'maid', 'silent film', 'lost film']"
When a Man Loves,"['역사', '로맨스']",111.0,1927-08-21,0.2458,6.4,7.0,528000.0,1037000.0,['Warner Bros. Pictures'],en,,"['courtesan', 'silent film', '18th century', 'priesthood']"
My Best Girl,"['드라마', '코미디', '로맨스']",80.0,1927-10-31,0.1806,7.0,18.0,483103.0,1027757.0,['United Artists'],en,,"['silent film', 'night court']"
배틀즈 오브 코로넬 앤 포클랜드 아일랜즈,"['드라마', '전쟁']",106.0,1927-10-26,0.111,6.35,10.0,1603469.0,6241682.0,['BIF'],en,,"['navy', 'world war i', 'battleship', 'british navy', 'battles']"
Noah's Ark,"['드라마', '전쟁']",135.0,1928-11-01,1.1661,6.294,17.0,1005000.0,2305000.0,['The Vitaphone Corporation'],en,,"['rescue', 'tower of babel', 'world war i', 'natural disaster', 'deluge', 'battlefield', 'best friend', 'blind', 'animals', 'showgirl', 'bible quote', 'newlywed', 'firing squad', 'parallel story', 'flood', 'train wreck', 'holy man', ""noah's ark"", 'wrath of god', 'sacrificial virgin']"
Sadie Thompson,"['드라마', '로맨스']",97.0,1928-01-07,0.5522,6.7,35.0,1000000.0,7000000.0,['Gloria Swanson Pictures'],en,,"['suicide', 'south seas', 'missionary', 'religion', 'silent film', 'religious hypocrisy', 'u.s. marine', 'zealot', 'partially lost film', 'fallen woman', 'rainy setting']"
Lights of New York,"['범죄', '드라마']",57.0,1928-07-18,0.8532,5.4,13.0,75000.0,1200000.0,['The Vitaphone Corporation'],en,,"['new york city', 'prohibition era', 'gangster', 'pre-code', 'speakeasy', 'framed for murder']"
Across to Singapore,"['모험', '드라마']",85.0,1928-04-07,0.3934,6.8,11.0,290000.0,596000.0,['Metro-Goldwyn-Mayer'],en,,"['ship', 'mutiny', 'brother', 'singapore', 'arranged marriage', 'rejection', 'engagement', 'silent film', 'barroom brawl', 'sea voyage', 'port', 'drunkard', 'childhood sweethearts', 'fury']"
The Terror,"['공포', '미스터리', '스릴러']",85.0,1928-09-06,0.4069,6.0,1.0,163000.0,1464000.0,[],en,,[]
Our Dancing Daughters,"['드라마', '로맨스']",84.0,1928-09-01,0.3285,6.466,29.0,178000.0,1099000.0,['Metro-Goldwyn-Mayer'],en,,"['alcoholic', 'millionaire', 'silent film', 'flapper']"
West of Zanzibar,"['드라마', '스릴러', '미스터리']",70.0,1928-11-24,0.2347,7.0,40.0,259000.0,921000.0,['Metro-Goldwyn-Mayer'],en,,"['magic', 'africa', 'based on play or musical', 'rivalry', 'revenge', 'alcoholic', 'silent film', 'cripple', 'disability', 'psychotronic', 'vengeance', 'magician', 'ivory']"
The Mysterious Lady,"['모험', '드라마']",89.0,1928-08-04,1.9835,7.4,32.0,337000.0,551000.0,['Metro-Goldwyn-Mayer'],en,,"['silent film', 'russian spy', 'austrian officer', 'ploy']"
The Divine Woman,"['드라마', '로맨스']",80.0,1928-01-13,0.1711,6.9,8.0,266817.0,931000.0,['Metro-Goldwyn-Mayer'],en,,"['romance', 'lost film', 'partially lost film']"
On Trial,['드라마'],91.0,1928-12-01,0.1374,6.0,1.0,130000.0,1454000.0,['Warner Bros. Pictures'],en,,[]
The Singing Fool,"['드라마', '음악']",102.0,1928-09-29,0.068,5.0,5.0,388000.0,5916000.0,['Warner Bros. Pictures'],en,,"['musical', 'silent film', 'based on short story', 'vaudeville', 'singer-songwriter', 'struggling artist', 'blackface', 'part-talkie']"
코코넛 대소동,"['코미디', '음악']",93.0,1929-05-23,2.5856,6.4,113.0,500000.0,1800000.0,['Paramount Pictures'],en,"막스 브라더스의 첫 장편영화. 영화는 플로리다에서 호텔을 경영하는 미스터 해머(그루초 막스)가 경영난에 직면하자 이를 타계하기 위한 계략을 꾸미는 과정을 마치 뮤지컬을 보듯 흥겨운 노래와 춤으로 보여준다. 영화로 만들어지기 이전 이미 동명의 뮤지컬 작품을 약 18개월 동안 상연하며 인기를 누렸고, 브로드웨이 입성 후 큰 성공을 거두었다. 초기 유성영화 작품 중 하나인 이 작품은 자세히 보면 당시 열악한 제작 환경을 엿볼 수 있다. 미스터 해머가 플로리다 부동산 지도를 보여 주는 장면에서 사운드를 녹음하는 음향 장비의 과도한 작동을 막기 위해 지도를 일부러 물에 적셔 둔 장면이 눈에 띈다.  막스 형제의 작품은 훗날 많은 영화 작품과 문화계에 영향을 미쳤다. 특히 테리 길리엄은 자신의 영화에 막스 형제의 작품을 여러 차례 인용했는데, 에서는 온 가족이 을 보는 장면을 삽입해 눈길을 끌었다.  (2014 한국영상자료원 - 막스 브라더스 특별전)","['based on play or musical', 'slapstick comedy', 'black and white', 'jewel thief', 'pre-code', 'real estate']"
브로드웨이 멜로디,"['음악', '로맨스', '드라마']",101.0,1929-02-08,0.6256,5.19,147.0,379000.0,4358000.0,['Metro-Goldwyn-Mayer'],en,"성공을 찾아 떠나는 두 자매의 이야기를 다룬 뮤지컬 영화. 토키 시대(유성영화)로 접어들어 제작된 이 영화는 '100% 유성영화, 100% 노래와 춤'이라는 이색 포스터를 걸고 무려 400만 달러라는 거액을 투입하였다.","['new york city', 'dancing', 'love triangle', 'revue girls', 'show business', 'musical', 'tap dancing', 'singer', 'singing', 'black and white', 'undressing', 'broadway', 'pre-code', 'vaudeville', 'dressing room', 'wisecrack humor', 'showbiz', 'chorus girl', 'girl fight', 'crooner', 'broadway show', 'early sound film', 'dance act', 'sisterhood', 'partially lost film', 'sister act', 'show girls', 'stage show performer', 'sister sister relationship', 'vaudeville troupe', 'sisters love', 'many beautiful girls', 'dancing girls', 'sisters love same man']"
Welcome Danger,['코미디'],115.0,1929-10-12,0.4086,5.1,18.0,979828.0,3000000.0,['The Harold Lloyd Corporation'],en,,['pre-code']
Our Modern Maidens,"['드라마', '코미디']",76.0,1929-09-08,0.3447,5.9,14.0,283000.0,857000.0,['Metro-Goldwyn-Mayer'],en,,"['scandal', 'wedding', 'silent film', 'pre-code', 'flapper', 'rich girl', 'modernism', 'out of wedlock child', 'wife leaves husband']"
Rio Rita,"['로맨스', '서부', '음악']",140.0,1929-09-15,0.2706,8.5,2.0,678000.0,2400000.0,['RKO Radio Pictures'],en,,"['texas ranger', 'musical', 'bandit', 'mexican border']"
The Desert Song,"['음악', '로맨스']",123.0,1929-04-08,0.1511,4.5,2.0,354000.0,3022000.0,['Warner Bros. Pictures'],en,,"['based on play or musical', 'early sound film', 'operetta']"
Say It with Songs,['음악'],95.0,1929-08-05,0.1144,5.3,3.0,470000.0,2266000.0,['Warner Bros. Pictures'],en,,"['musical', 'early sound film']"
Gold Diggers of Broadway,"['코미디', '음악']",101.0,1929-08-30,0.214,7.0,2.0,532000.0,3967000.0,['Warner Bros. Pictures'],en,,"['musical', 'lost film']"
서부 전선 이상 없다,"['드라마', '전쟁']",133.0,1930-04-29,2.5937,7.742,834.0,1448864.0,3270000.0,['Universal Pictures'],en,"1차 대전이 진행되고 있을 무렵, 폴과 알버트, 프란츠, 뮬러, 벤은 전쟁에 참전해 조국을 구하라는 한 교수의 연설에 감동을 받아 혹독한 훈련을 마친 후 전선으로 향한다. 하지만 전선에 배치되자마자 벤은 전사하고, 프란츠는 부상으로 다리를 절단하게 된다. 정신을 차린 후, 평생 불구로 살아야한다는 사실에 이성을 잃고 날뛰던 프란츠도 병원에서 사망한다. 한편, 뮬러는 프란츠가 아끼던 군화를 받게 되자 아주 기뻐하지만 그 역시 전사한다. 결국 폴은 전쟁터에서 전쟁의 참상에 대해 서서히 깨닫기 시작하는데...","['friendship', 'army', 'based on novel or book', 'germany', 'disillusion', 'world war i', 'steel helmet', 'patriotism', 'boot camp', 'battlefield', 'atrocity', 'black and white', 'soldier', 'combat', 'warfare', 'death', 'pre-code', 'anti war', 'mud', 'trenches', 'young soldier', 'battlefield trauma', 'philosophical depiction of war']"
지옥의 천사들,"['드라마', '전쟁', '액션']",131.0,1930-11-15,0.7539,6.5,94.0,3950000.0,8000000.0,['The Caddo Company'],en,"참고 사항. 하워드 휴즈의 전기 영화 에도 표현되어 있듯, 현재까지도 비행 전투 장면에 있어서 최고의 장면으로 기록된다. 3명의 조종사가 촬영 도중 사망했고 '유성 영화'가 등장하자 처음부터 재촬영을 했던 전설적인 영화다.","['world war i', 'brother', 'fighter pilot', 'zeppelin', 'unfaithful girlfriend', 'aerial combat', 'royal flying corps (rfc)', 'dogfight', 'airship', 'duel', 'suicide mission', 'bombing', 'pre-code', 'casualty of war', 'flirtatious woman', 'night patrol']"
